,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,1st_APPEARANCE,YEAR,DC_MV
11096,Ratter (Nazi) (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1943.0,1
11097,Richardo Bennett (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,4,1943.0,1
11098,Ring (Nazi) (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,1,1943.0,1
11099,Robin Hood (Earth-616),Secret Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,1.0,4,1943.0,1
11101,Ruby Yen (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,9,1943.0,1
11102,Sagayo (Earth-616),Public Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,1.0,5,1943.0,1
11103,Sandman (Nowhere) (Earth-616),Secret Identity,Neutral Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,3,1943.0,1
11105,Seni Karlan (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,6,1943.0,1
11106,Sewer Man (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,6,1943.0,1
11107,Shirley Booth (Earth-616),Public Identity,Good Characters,None,Brown Hair,Female Characters,Straight,Living Characters,1.0,5,1943.0,1
11108,Sim Altona (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,11,1943.0,1
11111,Snake-Eye Smith (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,5,1943.0,1
11112,Sol Harriman (Earth-616),Secret Identity,Bad Characters,None,Blond Hair,Male Characters,Straight,Living Characters,1.0,3,1943.0,1
11113,Steve Strong (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,2,1943.0,1
11114,Symbol of Doom (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1943.0,1
11115,Tick and Tock (Earth-616),Secret Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,1.0,7,1943.0,1
11117,Triple Destruction (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,1.0,9,1943.0,1
11118,Tu-Ra-Bi-Ka (Impostor) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1943.0,1
11119,Vance Coburn (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,1,1943.0,1
11120,Von Batch (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,4,1943.0,1
11121,Von Blubber (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,3,1943.0,1
11122,Von Boom (Earth-616),No Dual Identity,Bad Characters,None,Blond Hair,Male Characters,Straight,Living Characters,1.0,3,1943.0,1
11123,Von Broot (Earth-616),No Dual Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,9,1943.0,1
11124,Von Goober (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,1,1943.0,1
11125,Von Gukk (Earth-616),No Dual Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,6,1943.0,1
11126,Von Klutz (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1943.0,1
11127,Von Kropp (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,7,1943.0,1
11128,Von Lontz (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,10,1943.0,1
11129,Von Schmeer (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,6,1943.0,1
11130,Vulture (Nazi) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,11,1943.0,1
11132,White Vampire (Earth-616),Secret Identity,Bad Characters,None,None,Female Characters,Straight,Deceased Characters,1.0,12,1943.0,1
11133,William Cox (Earth-616),No Dual Identity,Good Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,12,1943.0,1
11134,Yoko (Earth-616),No Dual Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1943.0,1
11135,Zeke Mallon (Earth-616),No Dual Identity,Good Characters,None,Red Hair,Male Characters,Straight,Living Characters,1.0,3,1943.0,1
11136,Zomber (Earth-616),No Dual Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,1.0,9,1943.0,1
11137,Admiral Footsu (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11138,Alan Heinman (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11139,Anna Frankenstein (Earth-616),No Dual Identity,Bad Characters,None,Brown Hair,Female Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11140,Bamboo Knife Butcher (Earth-616),Secret Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11141,Banker Blair (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11142,Baron Hitso (Earth-616),No Dual Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11143,Baron Krugg (Earth-616),Public Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11144,Baron of Horror Castle (Earth-616),Secret Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,1.0,10,1944.0,1
11145,Baron Schluss (Earth-616),No Dual Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11146,Baron von Ritter (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11147,Baron von Wetzel (Earth-616),No Dual Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11148,Bat (Nazi) (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11149,Beast of Frankenstein (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11150,Black Knight (Tommy Tyme Foe) (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11151,Black Snake (Earth-616),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,1.0,5,1944.0,1
11152,Brad Trent (Earth-616),Public Identity,Neutral Characters,None,None,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11153,Bradley Manning (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11154,Bucka (Earth-616),Public Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,5,1944.0,1
11155,Bucky (1313 AD) (Earth-616),Secret Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,5,1944.0,1
11156,Captain Amerigo (Earth-616),Secret Identity,Good Characters,None,Blond Hair,Male Characters,Straight,Living Characters,1.0,5,1944.0,1
11157,Captain Krashyu (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11158,Captain Osaki (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11159,Carl von Brummel (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11160,Choo-Choo Charley (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,6,1944.0,1
11161,Colonel Kishi (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11162,Colonel Strauheim (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11163,Conrad Meer (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,4,1944.0,1
11164,Dagger (Mobster) (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,5,1944.0,1
11165,Dalt Kendall (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,11,1944.0,1
11166,Dan Sekowsky (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,3,1944.0,1
11167,David Johnson (Earth-616),Public Identity,Neutral Characters,None,None,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11168,Dean Tarlek (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11169,Director of Death (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11170,Doctor Botan (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11171,Doctor Frankenstein (WWII) (Earth-616),Public Identity,Good Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,6,1944.0,1
11172,Doctor Luville (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11173,Doctor Necrosis (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11174,Doctor Scarr (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11175,Doctor Yokotio (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11176,Ed Turtle (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11177,Edward Burk (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,7,1944.0,1
11178,Emil Natas (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,5,1944.0,1
11179,Ensen (Earth-616),Public Identity,Neutral Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,10,1944.0,1
11181,Flaming Hate (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11182,Flying Falcon (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,10,1944.0,1
11183,Fritz Mueller (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,4,1944.0,1
11184,Fritz von Arnheim (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,2,1944.0,1
11185,General Blauheim (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11186,General Suki (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11187,General von Savage (Earth-616),Public Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11188,General Yokima (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,10,1944.0,1
11189,George Mulford (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11190,Georges Tarragh (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,2,1944.0,1
11191,Ghost Harpooner (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11192,Ghost of Yesteryear (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11193,Ghostly Terrill (Earth-616),Public Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11194,Great Rosso (Earth-616),Public Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,1,1944.0,1
11195,Hans Thysenn (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11196,Head (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11197,Hercules (Captain America Past Life) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,1.0,5,1944.0,1
11198,Herr Swastika (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11199,Jackal (Nazi) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,7,1944.0,1
11200,Jim Langdon (Earth-616),Public Identity,Neutral Characters,None,None,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11201,Johnnie Pinkham (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,7,1944.0,1
11202,Judas Cain (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11203,Juggernaut (WWII) (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,10,1944.0,1
11204,Karl Kraft (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,3,1944.0,1
11205,Karl Shaffer (Earth-616),Secret Identity,Bad Characters,None,Blond Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11206,Keeper of the Flash (Earth-616),Secret Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,1.0,7,1944.0,1
11207,Klug (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11208,Lars Krool (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11209,Man in the Steel Mask (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,2,1944.0,1
11210,Marmaduke Jones (Earth-616),Public Identity,Good Characters,None,Red Hair,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11211,Master of Death (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,1.0,10,1944.0,1
11212,Mathers (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,5,1944.0,1
11213,Max Bovar (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11214,Maxie Murdock (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11215,Mistress of Death (Earth-616),Secret Identity,Bad Characters,None,Red Hair,Female Characters,Straight,Deceased Characters,1.0,8,1944.0,1
11216,Mole (Nazi) (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,1,1944.0,1
11217,Monstro (WWII) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11218,Mother Ting (Earth-616),Secret Identity,Good Characters,None,White Hair,Female Characters,Straight,Living Characters,1.0,12,1944.0,1
11219,Nails Bradley (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11220,Nan Carter (Earth-616),Public Identity,Good Characters,None,Blond Hair,Female Characters,Straight,Living Characters,1.0,3,1944.0,1
11221,Ogar of the Ocean (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11222,Ogre (Gang Leader) (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11223,Otto Briefer (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11224,Past (Earth-616),Secret Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,1.0,12,1944.0,1
11226,Peddler of Doom (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,6,1944.0,1
11227,Pedro Alvarez (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,7,1944.0,1
11228,Peter Herrick (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,5,1944.0,1
11229,Peter Stromboli (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,2,1944.0,1
11230,Phao (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1944.0,1
11231,Pop Kunz (Earth-616),Public Identity,Bad Characters,None,Grey Hair,Male Characters,Straight,Living Characters,1.0,4,1944.0,1
11232,Prince Suli (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1944.0,1
11233,Princess Ramasi (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Female Characters,Straight,Deceased Characters,1.0,1,1944.0,1
11234,Professor Svengalie (Earth-616),No Dual Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,10,1944.0,1
11235,Professor Tarbu (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11236,Raymond Wil (Earth-616),Public Identity,Neutral Characters,None,None,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11237,Rene Claire (Earth-616),No Dual Identity,Bad Characters,None,Blond Hair,Male Characters,Straight,Living Characters,1.0,10,1944.0,1
11238,Ruth LaRue (Earth-616),Public Identity,Neutral Characters,None,Blond Hair,Female Characters,Straight,Living Characters,1.0,9,1944.0,1
11239,Samson Barrick (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11240,Schoolmaster (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,8,1944.0,1
11241,Senator Doaks (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11242,Shalimar (Earth-616),Public Identity,Neutral Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11243,Siegfried Kunz (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,5,1944.0,1
11244,Stefan Halpern (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,2,1944.0,1
11246,Tiger Duncan (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,8,1944.0,1
11247,Tom Evans (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11248,Vanza (Earth-616),Public Identity,Good Characters,None,Black Hair,Female Characters,Straight,Living Characters,1.0,12,1944.0,1
11249,Voice of Doom (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,9,1944.0,1
11250,Von Fleagle (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11251,Von Rottz (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,1.0,6,1944.0,1
11252,Von Wolheim (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,6,1944.0,1
11253,Wilbur the Great (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11254,Wilton Wilkes (Earth-616),No Dual Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,12,1944.0,1
11255,Wisp (Earth-616),Secret Identity,Bad Characters,None,Blond Hair,Female Characters,Straight,Living Characters,1.0,3,1944.0,1
11256,Wolf (Nazi) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,9,1944.0,1
11257,Yellow Fang (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1944.0,1
11258,Allen Rosnim (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,12,1945.0,1
11259,Alonzo Gonzales (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11261,Benjamin Loufitz (Earth-616),No Dual Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,3,1945.0,1
11262,Big Boy Bates (Earth-616),Secret Identity,Bad Characters,None,Blond Hair,Male Characters,Straight,Living Characters,1.0,12,1945.0,1
11263,Black Master (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,1.0,9,1945.0,1
11264,Blackbeard (Japanese Spy) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,4,1945.0,1
11265,Blake (Mobster) (Earth-616),No Dual Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,12,1945.0,1
11266,Bloody Baron (Japanese) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,6,1945.0,1
11267,Boss (District Attorney) (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,8,1945.0,1
11268,Bret Labale (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,7,1945.0,1
11269,Butch Cantwell (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,4,1945.0,1
11270,Captain Suicide (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1945.0,1
11271,Carter Blackstone (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,4,1945.0,1
11272,Cat Woman (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Female Characters,Straight,Deceased Characters,1.0,3,1945.0,1
11273,Cat-Woman (Earth-616),Secret Identity,Bad Characters,None,None,Female Characters,Straight,Deceased Characters,1.0,4,1945.0,1
11274,Chameleon (Breese) (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,12,1945.0,1
11275,Chiquita Tarantula (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Female Characters,Straight,Living Characters,1.0,7,1945.0,1
11276,Chris Ramsey (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,10,1945.0,1
11277,Chuck Brandon (Earth-616),Public Identity,Neutral Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,6,1945.0,1
11278,Cracksmith (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11279,Crimorto (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,6,1945.0,1
11280,Danbury Fawcett (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,7,1945.0,1
11281,Detective Brady (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11282,Diavolo (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,8,1945.0,1
11283,Doctor Colosso (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,7,1945.0,1
11284,Doctor Hades (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,4,1945.0,1
11285,Doctor Herzog (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,3,1945.0,1
11286,Doctor Lammon (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,12,1945.0,1
11287,Doctor Nichi (Earth-616),Public Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,1.0,3,1945.0,1
11288,Doctor Nitro (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,6,1945.0,1
11289,Doctor Throttle (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,6,1945.0,1
11290,Doctor von Helstog (Earth-616),Public Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,1,1945.0,1
11291,Dotty Benson (Earth-616),Public Identity,Neutral Characters,None,Blond Hair,Female Characters,Straight,Living Characters,1.0,9,1945.0,1
11292,Douglas van Horn (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11293,Ed Jordan (Earth-616),Public Identity,Neutral Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,6,1945.0,1
11294,Ed Rutgers (Earth-616),Public Identity,Neutral Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,9,1945.0,1
11295,Epicure (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11297,Frank Lavalle (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,12,1945.0,1
11298,Franz Egraus (Earth-616),Public Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,1.0,12,1945.0,1
11299,Franz Neunmensch (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,2,1945.0,1
11300,Gaillard (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Straight,Living Characters,1.0,3,1945.0,1
11301,Genrami (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,10,1945.0,1
11302,George Jordan (Earth-616),Public Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11303,George Reynolds (Earth-616),No Dual Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,1.0,9,1945.0,1
11304,George Whitaker (Earth-616),Public Identity,Neutral Characters,None,None,Male Characters,Straight,Deceased Characters,1.0,12,1945.0,1
11305,Gregory Smith (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Deceased Characters,1.0,1,1945.0,1
11306,Hal Jordan (Earth-616),Public Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,1.0,3,1945.0,1
11307,Hugh Tyson (Earth-616),Public Identity,Neutral Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,1.0,12,1945.0,1
11308,Jack Hasley (Earth-616),Secret Identity,Bad Characters,Black Eyes,None,Male Characters,Straight,Deceased Characters,1.0,12,1945.0,1
